pl_name,hostname,sy_dist,st_teff,st_mass,st_rad,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,discoverymethod,disc_year,disc_facility
47 UMa b,47 UMa,13.79670000,5872.00,1.060000,1.213340,804.08000000,13.20000000,1078.00000000000,2.1000000000,215.23,Radial Velocity,1996,Lick Observatory
47 UMa c,47 UMa,13.79670000,5872.00,1.060000,1.213340,171.62100000,14.20000000,2391.00000000000,3.6000000000,164.38,Radial Velocity,2001,Lick Observatory
47 UMa d,47 UMa,13.79670000,5872.00,1.060000,1.213340,521.22000000,13.50000000,14002.00000000000,11.6000000000,91.58,Radial Velocity,2009,Lick Observatory
51 Peg b,51 Peg,15.46140000,5761.00,1.070000,1.190000,193.87532827,14.10000000,4.23079660000,0.0520000000,1328.93,Radial Velocity,1995,Haute-Provence Observatory
55 Cnc e,55 Cnc,12.58550000,5172.00,0.905000,0.943000,7.99000000,1.87500000,0.73654740000,0.0154400000,1958.00,Radial Velocity,2004,McDonald Observatory
55 Cnc b,55 Cnc,12.58550000,5198.00,1.015000,0.980000,263.97850000,13.90000000,14.65155200000,0.1180000000,700.00,Radial Velocity,1996,Lick Observatory
55 Cnc c,55 Cnc,12.58550000,5198.00,1.015000,0.980000,54.47380000,8.51000000,44.39360000000,0.2470000000,499.27,Radial Velocity,2004,McDonald Observatory
55 Cnc f,55 Cnc,12.58550000,5198.00,1.015000,0.980000,44.81200000,7.59000000,260.58000000000,0.8020000000,277.07,Radial Velocity,2007,Multiple Observatories
55 Cnc d,55 Cnc,12.58550000,5198.00,1.015000,0.980000,1232.49300000,13.00000000,4799.00000000000,5.6000000000,104.85,Radial Velocity,2002,Lick Observatory
61 Vir b,61 Vir,8.50332000,5577.00,0.942000,0.963000,5.10000000,2.11000000,4.21500000000,0.0502010000,1177.85,Radial Velocity,2009,Multiple Observatories
61 Vir c,61 Vir,8.50332000,5577.00,0.942000,0.963000,18.20000000,4.46000000,38.02100000000,0.2175000000,565.87,Radial Velocity,2009,Multiple Observatories
61 Vir d,61 Vir,8.50332000,5577.00,0.942000,0.963000,22.90000000,5.11000000,123.01000000000,0.4760000000,382.51,Radial Velocity,2009,Multiple Observatories
AT2021ueyL b,AT2021ueyL,1040.00000000,3680.00,0.490000,,425.89006538,13.60000000,4168.69000000000,4.0100000000,,Microlensing,2025,Multiple Observatories
Barnard d,Barnard's star,1.82655000,3195.00,0.162000,0.185000,0.26300000,0.69400000,2.34020000000,0.0188000000,483.00,Radial Velocity,2025,Gemini Observatory
Barnard b,Barnard's star,1.82655000,3195.00,0.162000,0.185000,0.29900000,0.72000000,3.15420000000,0.0229000000,438.00,Radial Velocity,2024,Paranal Observatory
Barnard c,Barnard's star,1.82655000,3195.00,0.162000,0.185000,0.33500000,0.74300000,4.12440000000,0.0274000000,400.00,Radial Velocity,2025,Gemini Observatory
Barnard e,Barnard's star,1.82655000,3195.00,0.162000,0.185000,0.19300000,0.63700000,6.73920000000,0.0381000000,340.00,Radial Velocity,2025,Gemini Observatory
bet Pic c,bet Pic,19.74420000,8038.68,1.795000,1.544160,3222.46221857,12.50000000,1192.77951000000,2.6800000000,1250.00,Radial Velocity,2019,La Silla Observatory
bet Pic b,bet Pic,19.74420000,8038.68,1.795000,1.544160,3727.80938570,18.49485000,8617.50952000000,10.0180000000,1612.00,Imaging,2008,Paranal Observatory
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,23.10000000,580.50,0.021000,,3337.10000000,12.40000000,10037.50000000000,2.6000000000,370.00,Imaging,2011,W. M. Keck Observatory
COCONUTS-2 b,COCONUTS-2 A,10.88640000,3552.00,0.400000,0.366000,2383.71305250,12.57647635,402000000.00000000000,7506.0000000000,493.00,Imaging,2021,NASA Infrared Telescope Facility (IRTF)
DMPP-4 b,DMPP-4,25.32840000,6400.00,1.250000,1.380000,12.20000000,3.53000000,3.49820000000,0.0485300000,1645.69,Radial Velocity,2023,Multiple Observatories
DP Leo b,DP Leo,305.68400000,13500.00,0.690000,0.011500,1995.88832000,12.70000000,10220.00000000000,8.1900000000,24.39,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory
eps Eri b,eps Eri,3.20260000,5020.38,0.820000,0.759106,317.82840700,13.80000000,2680.00000000000,3.5300000000,112.26,Radial Velocity,2000,Multiple Observatories
eps Ind A b,eps Ind A,3.63857000,4760.00,0.781000,0.679000,2425.03074541,12.60000000,39400.00000000000,20.9000000000,275.00,Radial Velocity,2019,La Silla Observatory
GJ 1061 b,GJ 1061,3.67278000,2953.00,0.120000,0.156000,1.11000000,1.04000000,3.20730000000,0.0210000000,388.11,Radial Velocity,2020,La Silla Observatory
GJ 1061 c,GJ 1061,3.67278000,2953.00,0.120000,0.156000,1.81000000,1.19000000,6.68210000000,0.0342000000,304.12,Radial Velocity,2020,La Silla Observatory
GJ 1061 d,GJ 1061,3.67278000,2953.00,0.120000,0.156000,1.67000000,1.16000000,13.06600000000,0.0540000000,242.03,Radial Velocity,2020,La Silla Observatory
GJ 1214 b,GJ 1214,14.64270000,3101.00,0.182000,0.216200,8.41000000,2.73300000,1.58040453100,0.0150500000,567.00,Transit,2009,MEarth Project
GJ 15 A b,GJ 15 A,3.56228000,3607.00,0.380000,0.380000,3.03000000,1.55000000,11.44070000000,0.0720000000,550.00,Radial Velocity,2014,W. M. Keck Observatory
GJ 15 A c,GJ 15 A,3.56228000,3607.00,0.380000,0.380000,36.00000000,6.67000000,7600.00000000000,5.4000000000,46.14,Radial Velocity,2018,Roque de los Muchachos Observatory
GJ 338 B b,GJ 338 B,6.33256000,4014.00,0.640000,0.580000,10.60000000,3.25000000,24.42200000000,0.1420000000,391.00,Radial Velocity,2020,Calar Alto Observatory
GJ 411 b,GJ 411,5.67577300,3719.00,0.389900,0.368500,2.69000000,1.45000000,12.93940000000,0.0787900000,349.83,Radial Velocity,2019,Haute-Provence Observatory
HD 95735 c,GJ 411,5.67577300,3719.00,0.389900,0.368500,13.60000000,3.76000000,2946.00000000000,2.9400000000,63.49,Radial Velocity,2021,Multiple Observatories
GJ 514 b,GJ 514,7.61778000,3728.00,0.510000,0.500000,5.20000000,2.13000000,140.43000000000,0.4220000000,202.00,Radial Velocity,2022,Multiple Observatories
GJ 667 C b,GJ 667 C,7.24396000,3350.00,0.330000,,5.68000000,2.25000000,7.20300000000,0.0504310000,,Radial Velocity,2012,La Silla Observatory
GJ 667 C c,GJ 667 C,7.24396000,3350.00,0.330000,,3.80000000,1.77000000,28.14000000000,0.1250000000,,Radial Velocity,2013,La Silla Observatory
GJ 667 C f,GJ 667 C,7.24396000,3350.00,0.330000,,2.70000000,1.45000000,39.02600000000,0.1560000000,,Radial Velocity,2013,La Silla Observatory
GJ 667 C e,GJ 667 C,7.24396000,3350.00,0.330000,,2.70000000,1.45000000,62.24000000000,0.2130000000,,Radial Velocity,2013,La Silla Observatory
GJ 667 C g,GJ 667 C,7.24396000,3350.00,0.330000,,4.60000000,1.99000000,256.20000000000,0.5490000000,,Radial Velocity,2013,La Silla Observatory
GJ 887 e,GJ 887,3.28679000,3688.00,0.495000,0.468000,1.46000000,1.12000000,4.42490000000,0.0417000000,544.00,Radial Velocity,2026,Multiple Observatories
GJ 887 b,GJ 887,3.28679000,3688.00,0.495000,0.468000,3.90000000,1.80000000,9.26190000000,0.0683000000,426.00,Radial Velocity,2020,La Silla Observatory
GJ 887 c,GJ 887,3.28679000,3688.00,0.495000,0.468000,6.50000000,2.43000000,21.78400000000,0.1210000000,320.00,Radial Velocity,2020,La Silla Observatory
GJ 887 d,GJ 887,3.28679000,3688.00,0.495000,0.468000,6.10000000,2.34000000,50.77000000000,0.2120000000,241.00,Radial Velocity,2026,Multiple Observatories
Gl 49 b,Gl 49,9.85280000,3805.00,0.515000,0.511000,5.63000000,2.24000000,13.85080000000,0.0905000000,435.99,Radial Velocity,2019,Multiple Observatories
Gl 725 A b,Gl 725 A,3.52140000,3433.00,0.330000,0.351000,2.78000000,1.48000000,11.22010000000,0.0680000000,376.10,Radial Velocity,2025,Multiple Observatories
HD 10647 b,HD 10647,17.33570000,6218.00,1.110000,1.100000,298.75000000,13.80000000,989.20000000000,2.0150000000,221.54,Radial Velocity,2006,W. M. Keck Observatory
HD 136352 b,HD 136352,14.68200000,5664.00,0.870000,1.058000,4.72000000,1.66400000,11.57797000000,0.0964000000,905.00,Radial Velocity,2019,La Silla Observatory
HD 136352 c,HD 136352,14.68200000,5664.00,0.870000,1.058000,11.24000000,2.91600000,27.59221000000,0.1721000000,677.00,Radial Velocity,2019,La Silla Observatory
HD 136352 d,HD 136352,14.68200000,5664.00,0.870000,1.058000,8.82000000,2.56200000,107.24500000000,0.4250000000,431.00,Radial Velocity,2019,La Silla Observatory
HD 141004 b,HD 141004,11.81480000,5885.38,1.051904,1.389372,13.63483866,3.77000000,15.50830000000,0.1238000000,950.73,Radial Velocity,2021,Multiple Observatories
HD 147513 b,HD 147513,12.90320000,5883.00,1.110000,0.980000,385.00000000,13.70000000,528.40000000000,1.3200000000,244.43,Radial Velocity,2003,La Silla Observatory
HD 189733 b,HD 189733,19.76380000,5052.00,0.790000,0.750000,359.14790000,12.66617000,2.21857567000,0.0312600000,1209.00,Radial Velocity,2005,Haute-Provence Observatory
HD 192310 b,HD 192310,8.79687000,5166.00,0.800000,0.857922,16.90000000,4.27000000,74.72000000000,0.3200000000,355.00,Radial Velocity,2011,La Silla Observatory
HD 192310 c,HD 192310,8.79687000,5166.00,0.800000,0.857922,24.00000000,5.25000000,525.80000000000,1.1800000000,185.00,Radial Velocity,2011,La Silla Observatory
HD 19994 b,HD 19994,22.52420000,6188.00,1.365000,1.796470,435.41000000,13.60000000,466.20000000000,1.3050000000,350.10,Radial Velocity,2003,La Silla Observatory
HD 20794 b,HD 20794,6.00278000,5368.00,0.790000,0.930000,2.70000000,1.45000000,18.31400000000,0.1257000000,660.00,Radial Velocity,2011,La Silla Observatory
HD 20794 d,HD 20794,6.00278000,5368.00,0.790000,0.930000,4.80000000,2.04000000,89.68000000000,0.3625000000,388.00,Radial Velocity,2011,La Silla Observatory
HD 20794 e,HD 20794,6.00278000,5401.00,0.813000,0.930000,4.77000000,2.03000000,147.02000000000,0.5090000000,352.04,Radial Velocity,2017,La Silla Observatory
HD 20794 f,HD 20794,6.00278000,5368.00,0.790000,0.930000,5.82000000,2.28000000,647.60000000000,1.3541000000,214.52,Radial Velocity,2025,Multiple Observatories
HD 209458 b,HD 209458,48.30160000,6091.00,1.230000,1.190000,232.01590000,15.58051000,3.52474859000,0.0470700000,1459.00,Radial Velocity,1999,W. M. Keck Observatory
HD 219134 b,HD 219134,6.53127000,4699.00,0.810000,0.778000,4.74000000,1.60200000,3.09292600000,0.0387600000,1015.00,Radial Velocity,2015,Roque de los Muchachos Observatory
HD 219134 c,HD 219134,6.53127000,4699.00,0.810000,0.778000,4.36000000,1.51100000,6.76458000000,0.0653000000,782.00,Radial Velocity,2015,Roque de los Muchachos Observatory
HD 219134 f,HD 219134,6.53127000,4699.00,0.810000,0.778000,7.30000000,1.31000000,22.71700000000,0.1463000000,522.60,Radial Velocity,2015,Multiple Observatories
